ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,RiskScore,LoanApproved
2072-08-01,22,63052,631,Employed,Master,2,18271,12,Married,1.0,Other,433.0,0.1475346198116793,1,0,0.3764417905268303,0,Education,0,29,7,3747,3265,111995,203370,5254.333333333333,0.6393382108491246,3.0,1409,0.167771,0.1567016727582617,1654.8930427273958,0.3973659283246963,51.0,0
2068-04-14,42,62117,522,Employed,Associate,20,29281,108,Divorced,1.0,Rent,214.0,0.2149922200310436,5,1,0.3764980643820864,0,Auto,0,30,10,7487,256,136992,30664,5176.416666666667,0.83578291198951,5.0,106328,0.313281,0.2940216168180267,774.1175924459965,0.1908883415063824,50.0,0
2062-04-07,31,32448,544,Employed,Bachelor,5,33395,60,Divorced,1.0,Other,383.0,0.1551656176539898,3,1,0.3600749793593021,0,Debt Consolidation,0,34,22,1662,648,14204,31564,2704.0,0.8790689394948941,3.0,8626,0.266395,0.2869453534961785,1053.8179222352442,0.5313675747911406,54.0,0
2031-05-29,19,32182,478,Unemployed,Master,0,49105,24,Single,1.0,Mortgage,405.0,0.4247085964774897,2,0,0.0910881454261404,0,Home,0,24,24,1861,3094,120905,24161,2681.833333333333,0.8688332530769447,7.0,96744,0.285105,0.2472450070588762,2614.025709863334,1.125732040219999,53.0,0
2024-04-04,45,77191,646,Employed,Master,21,99655,24,Married,0.0,Mortgage,599.0,0.0991974677816968,3,1,0.4856593434526431,0,Auto,0,22,24,11373,466,32054,15742,6432.583333333333,0.9827220121974524,8.0,16312,0.251655,0.2560098867685303,5348.835792004933,0.9246418559684316,52.0,0
2047-04-28,33,65873,557,Employed,High School,7,19659,96,Single,0.0,Mortgage,248.0,0.5329830164433038,4,0,0.268815205559718,0,Home,0,31,21,361,1644,229498,7110,5489.416666666667,0.9152457224306724,5.0,222388,0.276159,0.2731357602040054,505.7567508500795,0.1373109014345931,49.0,0
2032-09-16,26,53062,541,Employed,High School,4,30742,48,Single,4.0,Mortgage,452.0,0.3563829782101559,5,2,0.2072820279354749,0,Home,0,21,1,11935,631,23037,56725,4421.833333333333,0.7368246400412577,5.0,6749,0.2552419999999999,0.208924469930847,950.1699015377676,0.3171014816338097,56.0,0
2037-07-26,47,99221,566,Employed,Associate,28,21627,60,Single,3.0,Rent,518.0,0.3096206304461707,2,0,0.3322246955604616,0,Home,0,15,3,1802,1123,232204,77506,8268.416666666666,0.785927028534977,3.0,154698,0.2436269999999999,0.2230103284226678,601.021712144834,0.1353368797506375,41.6,1
2066-03-18,21,15000,573,Employed,Bachelor,0,29320,96,Single,1.0,Mortgage,525.0,0.1683500750896225,4,0,0.0858360950701886,0,Home,0,17,10,64290,271,64561,23449,1250.0,0.7078088961921605,4.0,41112,0.27782,0.2753196116804137,758.6574480142826,1.026925958411426,51.0,0
2064-04-02,28,46213,601,Employed,Associate,7,17255,84,Single,0.0,Own,392.0,0.1352062302920993,5,1,0.2328088103531873,0,Home,0,28,24,2947,711,79408,6739,3851.0833333333335,0.7980745667441135,7.0,72669,0.241755,0.2108980768131669,394.5706178331395,0.2042465845973573,47.0,0
2058-01-13,37,52495,608,Employed,Master,16,23743,84,Single,0.0,Own,276.0,0.142883134670543,-4,1,0.3891783483469733,0,Auto,0,22,4,7676,4022,11698,13734,4374.583333333333,0.7901291372951966,2.0,6120,0.244743,0.2582759525040824,613.5944256153784,0.2033552358774081,53.0,0
2050-07-15,40,52960,563,Employed,Bachelor,17,21514,24,Single,2.0,Mortgage,402.0,0.0289459185715086,2,0,0.3044432318402526,0,Home,0,27,11,1818,1697,83342,912238,4413.333333333333,0.5930622012939568,4.0,10069,0.2150139999999999,0.2026885576236446,1097.8000364209477,0.3398338451104866,53.0,0
2054-04-07,30,15000,543,Self-Employed,Associate,6,38101,36,Single,0.0,,580.0,0.0964836052633911,5,3,0.439968746436769,0,Debt Consolidation,0,28,17,7819,529,240513,4469,1250.0,0.7821059124106703,6.0,236044,0.2516009999999999,0.2748182298063035,1565.3470134035051,1.7162776107228042,56.0,0
2039-06-15,30,56686,618,Employed,Bachelor,4,21691,48,Single,2.0,Mortgage,790.0,0.2570961174805847,3,0,0.0731030318828294,0,Auto,1,28,20,3658,622,76451,14322,2361.9166666666665,0.9947539315138392,5.0,62129,0.207691,0.2202676045994761,683.7135026803386,0.3119740682384374,51.0,0
2027-01-18,53,40655,639,Employed,Bachelor,32,6896,36,Married,2.0,Rent,1042.0,0.3019422262090041,2,0,0.0758959127354805,0,Home,0,25,13,2011,2909,43073,8427,3387.9166666666665,0.949501502677756,,34646,0.172396,0.1874150228976479,251.87954481772465,0.3819100857904979,48.0,0
2043-02-23,37,112194,634,Employed,High School,14,31907,84,Single,1.0,Other,560.0,0.0779991561139143,1,0,0.1728723517138998,0,Education,0,20,17,17202,1005,18207,12614,9349.5,0.9063648567696722,4.0,5593,0.239907,0.2022675327916956,712.8960442183035,0.1361458948840369,36.0,1
2055-12-15,29,75606,516,Employed,Master,7,18546,120,Married,2.0,Mortgage,458.0,0.0247700896116554,2,1,0.3941580261127433,0,Auto,0,32,28,1949,13275,146762,46805,6300.5,0.7195012562947735,2.0,99957,0.315546,0.2957502953584299,483.0942914261327,0.1493681916397322,51.0,0
2034-05-04,54,43048,618,Self-Employed,High School,31,11664,48,Single,1.0,Own,230.0,0.3619153140668746,2,1,0.2630235931302917,0,Home,0,16,27,500,285,27131,16906,3587.333333333333,0.3679367590208608,4.0,10225,0.197664,0.2049448074968188,358.01995269742525,0.1639156158792302,42.400000000000006,1
2023-11-03,48,49157,544,Employed,Master,24,15186,36,Married,0.0,Mortgage,556.0,0.2590232778510559,3,3,0.2608214519771865,0,Debt Consolidation,0,24,18,7896,189,13123,23685,4096.416666666667,0.8169541365319641,,5826,0.228186,0.2322655420174265,589.6405105359552,0.2796689408717265,53.0,0
2041-03-15,45,53648,515,Employed,High School,24,16570,72,Single,1.0,Own,586.0,0.1941433824400129,3,1,0.3725388247372426,0,Home,0,27,5,7985,376,67046,57228,4470.666666666667,0.6758707032105904,8.0,9818,0.27407,0.2251158965683825,421.3865048055322,0.2253325018205037,55.0,0
2059-07-11,26,58927,567,Employed,Bachelor,2,10742,48,Single,0.0,Own,448.0,0.1969474455188334,0,2,0.2300939217996448,0,Auto,0,19,18,2334,1060,155394,33854,4910.583333333333,0.6252810457038258,4.0,121540,0.222242,0.1988918027884711,326.2490357318381,0.1576694627043979,37.6,1
2020-10-13,32,52299,596,Employed,Associate,10,16709,60,Married,2.0,Other,493.0,0.1817306825148071,5,0,0.2168636085202294,0,Education,0,24,26,5664,483,147968,15806,4358.25,0.7011589742889874,5.0,132162,0.223709,0.254088600532057,494.4444799710787,0.2265690311411871,47.0,0
